# This CSV file was created by downloading the Excel spreadsheet
# elife-100574-table3-data1-v1.xlsx from the Marino et al 2025 eLife
# paper (https://doi.org/10.7554/eLife.100574.3), then converting the
# spreadsheet to CSV using Excel.
Clade,Species,TaxId,Phylum,Class,Order,Family,Accession_assembly,BUSCO_Duplicate,Genome_size,MaxLongevity_y,Source_MaxLongevity,Mass_g,Source_mass,MaxLongevity_y_log,Mass_g_log,n_markers_phylter_noshortbr,dN_CM_phylter_noshortbr,dS_CM_phylter_noshortbr,dNdS_CM_phylter_noshortbr,n_markers_trimmed,dN_CM_phylter_noshortbr_trimmed,dS_CM_phylter_noshortbr_trimmed,dNdS_CM_phylter_noshortbr_trimmed,brlen_coevol_gcpoor,dS_coevol_gcpoor,dNdS_coevol_gcpoor,brlen_coevol_gcrich,dS_coevol_gcrich,dNdS_coevol_gcrich,Overall_repeat_bp,Overall_repeat_gsperc,DNA_bp,DNA_gsperc,RC_bp,RC_gsperc,LTR_bp,LTR_gsperc,PLE_bp,PLE_gsperc,LINE_bp,LINE_gsperc,SINE_bp,SINE_gsperc,Retroposon_bp,Retroposon_gsperc,Unknown_bp,Unknown_gsperc,Other_bp,Other_gsperc,DNA_recent_gsperc,LINE_recent_gsperc,LTR_recent_gsperc,Other_recent_gsperc,Overall_TEs_recent_gsperc,PLE_recent_gsperc,RC_recent_gsperc,Retroposon_recent_gsperc,SINE_recent_gsperc,Unknown_recent_gsperc,DNA_recent_bp,LINE_recent_bp,LTR_recent_bp,Other_recent_bp,Overall_TEs_recent_bp,PLE_recent_bp,RC_recent_bp,Retroposon_recent_bp,SINE_recent_bp,Unknown_recent_bp
Actinopteri,Triplophysa_dalaica,1582913,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,GCA_015846415.1,2.3,741615690.5,NA,NA,NA,NA,NA,NA,781,0.028973019,0.197309661,0.146840345,887,0.028522787,0.198377916,0.143780049,0.0919132,0.682731,0.220295,0.0998559,0.618238,0.112987,224396044,30.46,53323948,7.24,2695788,0.36,19866244,2.69,144280,0.01,16576068,2.25,1022788,0.13,317888,0.04,127724292,17.34,2724748,0.36,2.44623175,1.423448791,1.743296956,NA,15.7322205,0.011823181,0.260109987,0.031113635,0.034925055,9.781271148,18141638,10556520,12928564,NA,116672616,87683,1929016,230744,259010,72539442
Actinopteri,Triplophysa_siluroides,422203,Chordata,Actinopteri,Cypriniformes,Nemacheilidae,GCA_006030095.1,2.5,1075800000,NA,NA,1500,FishBase,NA,7.313220387,780,0.024251565,0.146812233,0.165187632,885,0.024310681,0.152131014,0.15980095,0.0919132,0.428108,0.213797,0.0998559,0.403588,0.137828,318956196,29.97,64799964,6.08,3408968,0.32,29787596,2.79,54408,NA,18150892,1.7,1652880,0.15,257528,0.02,195979176,18.41,4864784,0.45,1.955691146,1.126659409,1.899601369,NA,16.59412251,0.002449185,0.244263044,0.016281903,0.045327163,11.30384929,21039325,12120602,20435912,NA,178519570,26348,2627782,175161,487630,121606811
Actinopteri,Myxocyprinus_asiaticus,70543,Chordata,Actinopteri,Cypriniformes,Catostomidae,GCA_019703515.1,61.2,2689500000,NA,NA,NA,NA,NA,NA,325,0.077516402,0.691689612,0.112068188,356,0.076442146,0.695754769,0.109869381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Carassius_auratus,7957,Chordata,Actinopteri,Cypriniformes,Cyprinidae,GCA_003368295.1,64.6,2209393073,41,AnAge,NA,NA,3.713572067,NA,302,0.057750287,0.462305593,0.124917993,331,0.058781369,0.470640261,0.124896602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Oxygymnocypris_stewartii,361644,Chordata,Actinopteri,Cypriniformes,Cyprinidae,GCA_003573665.1,50.3,2243995621,NA,NA,2968.100098,FishBase,NA,7.995677329,394,0.058723898,0.441903242,0.132888587,447,0.057857555,0.446649832,0.129536721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Danio_aesculapii,1142201,Chordata,Actinopteri,Cypriniformes,Danionidae,GCA_903798145.1,1.8,1677878640,NA,NA,NA,NA,NA,NA,767,0.019608458,0.205859586,0.095251616,870,0.019221253,0.209990305,0.091534,0.124008,0.532324,0.127915,0.119835,0.579729,0.0591709,682634992,40.97,374537196,22.48,14740576,0.88,50267312,3.01,334280,0.02,38137044,2.28,18894992,1.13,957532,0.05,41796060,2.5,142970000,8.58,4.713247691,1.330989662,2.004706243,NA,10.03593889,0.01374183,0.262495643,0.011373699,0.154262052,1.545122067,79082576,22332391,33636538,NA,168390875,230571,4404358,190837,2588330,25925273
Actinopteri,Danio_kyathit,242068,Chordata,Actinopteri,Cypriniformes,Danionidae,GCA_903798195.1,2.4,2073608293,NA,NA,NA,NA,NA,NA,781,0.019952614,0.193244815,0.103250452,887,0.019598155,0.195460904,0.100266368,0.124008,0.480413,0.146724,0.119835,0.443558,0.0780669,938985184,45.6,598796380,29.08,39632940,1.92,58559788,2.84,344164,0.01,49116724,2.38,25100780,1.21,1493536,0.07,80194676,3.89,85746196,4.16,9.656101349,1.38883198,1.678245957,NA,16.55188446,0.009314787,1.000178647,0.020487068,0.254094272,2.544630394,200229718,28798935,34800247,NA,343221249,193152,20739787,424822,5268920,52765667
Actinopteri,Danionella_dracula,623740,Chordata,Actinopteri,Cypriniformes,Danionidae,GCA_900490495.1,2.9,810948989.7,NA,NA,NA,NA,NA,NA,736,0.132958569,1.535865413,0.086569153,833,0.130943381,1.547868425,0.084595938,0.361167,1.40564,0.107188,0.384986,1.23412,0.0706074,119709960,14.86,22657880,2.81,3183472,0.39,9832208,1.22,34244,NA,12732856,1.58,2498704,0.31,190580,0.02,63148180,7.84,5431836,0.67,1.155420833,0.756796234,0.84740816,NA,7.264904474,0.000950237,0.293419742,0.006108669,0.083620893,4.121179706,9369874,6137231,6872048,NA,58914669,7706,2379484,49538,678123,33420665
Actinopteri,Chanos_chanos,29144,Chordata,Actinopteri,Gonorynchiformes,Chanidae,GCA_902362185.1,4.3,800928296.9,15,AnAge,7700,AnAge,2.708050201,8.948975608,783,0.111644701,1.540172685,0.072488431,883,0.109386016,1.555687958,0.070313597,0.775947,0.76972,0.0792128,0.776364,0.756641,0.0497256,83969476,10.55,7449588,0.93,450740,0.05,3785148,0.47,360940,0.04,6201388,0.77,645824,0.08,38364,NA,63531016,7.98,1506468,0.18,0.358675793,0.478067276,0.349508361,NA,6.294946381,0.027788779,0.016544351,0.003509408,0.022417237,5.033923081,2872736,3828976,2799311,NA,50418007,222568,132508,28108,179546,40318114
Actinopteri,Amphilophus_citrinellus,61819,Chordata,Actinopteri,Cichliformes,Cichlidae,GCA_013435755.1,2.9,1169233127,NA,NA,NA,NA,NA,NA,796,0.044667655,0.342995708,0.130228029,894,0.086496812,0.778757989,0.111070209,0.249585,0.409384,0.184232,0.267745,0.449525,0.106698,208314184,17.96,37399212,3.22,2942352,0.25,3615740,0.31,122152,0.01,24491376,2.11,1946388,0.16,199552,0.01,131744020,11.35,5853392,0.5,0.755303669,0.774027027,0.156840181,NA,6.498971498,0.003633528,0.131106251,0.006412109,0.041678707,4.629970026,8831261,9050180,1833827,NA,75988128,42484,1532938,74973,487321,54135143
Actinopteri,Astatotilapia_calliptera,8154,Chordata,Actinopteri,Cichliformes,Cichlidae,GCA_900246225.5,2.4,1071456373,NA,NA,NA,NA,NA,NA,697,0.006093593,0.033687171,0.180887657,NA,NA,NA,NA,0.0201916,0.512101,0.27014,0.016648,0.539545,0.1483,272080688,25.57,40951644,3.84,3876548,0.36,9781276,0.91,54356,NA,32289364,3.03,3746972,0.35,1085548,0.1,177813112,16.71,2481868,0.23,2.541784062,2.585023606,0.792547925,NA,19.64467081,0.003027831,0.321640595,0.072986652,0.195534109,13.13212603,27234107,27697400,8491805,NA,210484077,32442,3446239,782020,2095063,140705001
Actinopteri,Simochromis_diagramma,43689,Chordata,Actinopteri,Cichliformes,Cichlidae,GCA_900408965.1,2.2,1033188105,NA,NA,NA,NA,NA,NA,674,0.00548417,0.030055065,0.182470741,NA,NA,NA,NA,0.0201916,0.397155,0.277402,0.016648,0.476386,0.14945,249318764,24.3,30804544,3,1797840,0.17,6238640,0.6,201676,0.01,25919480,2.52,2610464,0.25,910912,0.08,177243820,17.27,3591388,0.35,1.749429907,1.979322241,0.410946869,NA,16.97318068,0.009985829,0.157863404,0.06144286,0.160155233,12.44403434,18074902,20450122,4245854,NA,175364884,103172,1631026,634820,1654705,128570283
Actinopteri,Oreochromis_aureus,47969,Chordata,Actinopteri,Cichliformes,Cichlidae,GCA_013358895.1,1.5,1183380000,NA,NA,2010,FishBase,NA,7.605890001,575,0.003808429,0.020456412,0.186172876,NA,NA,NA,NA,0.0193867,0.313556,0.200167,0.0192501,0.35471,0.154503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Oreochromis_niloticus,8128,Chordata,Actinopteri,Cichliformes,Cichlidae,GCA_001858045.3,1.8,1223032862,9,AnAge,2400,AnAge,2.197224577,7.783224016,590,0.003899604,0.022520884,0.17315501,NA,NA,NA,NA,0.0193867,0.342518,0.198843,0.0192501,0.373913,0.148734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Aphyosemion_australe,52653,Chordata,Actinopteri,Cyprinodontiformes,Nothobranchiidae,GCA_006937985.1,2.1,1056815453,NA,NA,NA,NA,NA,NA,799,0.069871789,0.608377892,0.114849323,900,0.069378477,0.619634623,0.111966754,0.179899,1.10075,0.157325,0.197334,0.959123,0.083543,514444504,48.89,39847960,3.78,2817712,0.26,13198768,1.25,55360,NA,40296640,3.82,1176096,0.11,199452,0.01,415086388,39.45,1766128,0.16,2.09458611,2.355555138,0.967336587,NA,32.83007457,0.00452745,0.191007118,0.008029816,0.065861578,27.14308535,22135910,24893871,10222963,NA,346953301,47847,2018593,84860,696035,286852320
Actinopteri,Callopanchax_toddi,60409,Chordata,Actinopteri,Cyprinodontiformes,Nothobranchiidae,GCA_006937965.1,1.5,1038705371,NA,NA,NA,NA,NA,NA,804,0.06380703,0.506421498,0.125995895,908,0.063078917,0.515943608,0.122259324,0.179899,0.88199,0.165252,0.197334,0.75227,0.11885,403758888,39.03,35568672,3.43,517924,0.05,11775284,1.13,71176,NA,35237060,3.4,1467976,0.14,140552,0.01,315722652,30.52,3257592,0.31,1.826577558,2.130723877,0.85152024,NA,26.65985617,0.00447274,0.034887372,0.004204376,0.091601715,21.7158683,18972759,22131943,8844786,NA,276917358,46459,362377,43671,951472,225563890
Actinopteri,Pachypanchax_playfairii,52664,Chordata,Actinopteri,Cyprinodontiformes,Aplocheilidae,GCA_006937955.1,1.3,713940000,NA,NA,NA,NA,NA,NA,808,0.08647757,0.816818821,0.105871177,914,0.084673042,0.826849358,0.102404436,0.243173,1.13094,0.135983,0.267824,0.973814,0.0777337,212415680,29.88,24324868,3.42,151540,0.02,4342168,0.61,70104,NA,17052560,2.39,563492,0.07,99304,0.01,164610060,23.15,1201584,0.16,2.23285111,1.425875281,0.401918431,NA,19.40286404,0.002223434,0.007455044,0.003662127,0.048261601,15.28061702,15941217,10179894,2869456,NA,138524808,15874,53225,26145,344559,109094437
Actinopteri,Kryptolebias_marmoratus,37003,Chordata,Actinopteri,Cyprinodontiformes,Rivulidae,GCA_001649575.2,1,829645267.7,NA,NA,NA,NA,NA,NA,806,0.087285785,0.783458662,0.111410836,912,0.085680653,0.793958192,0.107915824,0.275655,0.879918,0.155631,0.304035,0.779302,0.105898,189430108,23.08,16521700,2.01,5508596,0.67,14888840,1.81,14064,NA,18545764,2.26,592688,0.07,505784,0.06,129835844,15.82,3016828,0.36,0.948030312,1.407970533,1.271385117,NA,12.38685293,0.000954233,0.235391888,0.033658394,0.00945558,8.479920122,7865289,11681161,10547986,NA,102766939,7917,1952918,279245,78448,70353256
Actinopteri,Cyprinodon_tularosa,77115,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,GCA_016077235.1,0.9,1321312249,5,AnAge,NA,NA,1.609437912,NA,807,0.073141479,0.740670089,0.098750416,914,0.07232491,0.752955272,0.096054723,0.206994,1.21108,0.122277,0.237735,0.974521,0.0919009,515121628,39.26,61683388,4.7,11691108,0.89,23061912,1.75,145108,0.01,46046228,3.5,3600028,0.27,155824,0.01,360913736,27.5,7824296,0.59,2.668851118,2.137529382,1.379744051,NA,22.61852397,0.008333448,0.750912384,0.00094503,0.071779337,15.60042922,35263857,28243438,18230727,NA,298861328,110111,9921897,12487,948429,206130382
Actinopteri,Gambusia_affinis,33528,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,GCA_019740435.1,1.6,919320000,3,AnAge,NA,NA,1.098612289,NA,813,0.022004436,0.135179362,0.162779553,911,0.025070616,0.163808013,0.153048777,0.0768038,0.53875,0.229495,0.0695737,0.62829,0.157683,179834016,19.7,16443856,1.8,1266432,0.13,6002920,0.65,13568,NA,10441196,1.14,364408,0.03,64244,NA,144121220,15.78,1116172,0.12,0.69994163,0.696489999,0.535064573,NA,12.65571636,0.000986181,0.10545968,0.002403815,0.012019075,10.60335141,6434703,6402972,4918956,NA,116346532,9066,969512,22099,110494,97478730
Actinopteri,Xiphophorus_couchianus,32473,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,GCA_001444195.3,1,733500000,NA,NA,NA,NA,NA,NA,750,0.006435588,0.038421627,0.167499099,NA,NA,NA,NA,0.0212896,0.474781,0.193734,0.0251519,0.612356,0.125657,87450444,12.05,9412852,1.29,246152,0.03,1173280,0.16,NA,NA,7270160,1,695756,0.09,29452,NA,68142492,9.39,480300,0.06,0.520114947,0.669163102,0.121860218,NA,6.414265511,NA,0.020779352,0.001213747,0.050928832,5.030205313,3815043,4908311,893845,NA,47048638,NA,152417,8903,373563,36896556
Actinopteri,Xiphophorus_maculatus,8083,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,GCA_002775205.2,1.4,968220000,NA,NA,NA,NA,NA,NA,725,0.005320563,0.035268618,0.150858268,NA,NA,NA,NA,0.0212896,0.573201,0.192062,0.0251519,0.465919,0.128863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Xiphophorus_hellerii,8084,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,GCA_003331165.2,2.4,978000000,NA,NA,NA,NA,NA,NA,725,0.006121423,0.036933049,0.165743784,NA,NA,NA,NA,0.0360239,0.292478,0.233104,0.0367391,0.360328,0.175109,200713708,20.66,23658396,2.43,1937752,0.19,5618008,0.57,76072,NA,14785272,1.52,559880,0.05,47248,NA,152570528,15.71,1460552,0.15,0.967881617,0.97121249,0.450778168,NA,11.86299242,0.006837055,0.142584746,0.001344037,0.018933384,9.303420924,9465882,9498458,4408610,NA,116020066,66866,1394479,13145,185168,90987457
Actinopteri,Poeciliopsis_occidentalis,68464,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,GCA_010883035.1,5.8,665040000,1,AnAge,NA,NA,0,NA,760,0.031670426,0.217259212,0.145772536,864,0.030951735,0.224033691,0.138156606,0.0886823,0.740627,0.191952,0.0797678,0.884922,0.13177,64144808,9.71,5146604,0.77,247824,0.03,2415560,0.36,41632,NA,4102104,0.62,102100,0.01,7984,NA,50795832,7.69,1285168,0.19,0.28402884,0.362000726,0.1431109,NA,4.670109884,0.002030518,0.02729016,0.000243662,0.002436621,3.848968456,1888905,2407450,951745,NA,31058099,13504,181490,1620,16205,25597180
Actinopteri,Micropoecilia_picta,69234,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,GCA_905332405.1,0.6,898221078.9,NA,NA,NA,NA,NA,NA,794,0.034511225,0.195053904,0.176931733,898,0.039866495,0.260877135,0.152817128,0.0720687,0.757949,0.218003,0.067424,1.09538,0.185046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Poecilia_formosa,48698,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,GCA_000485575.1,3.4,948660000,NA,NA,NA,NA,NA,NA,786,0.015498096,0.108448825,0.142906997,NA,NA,NA,NA,0.0720687,0.469115,0.193304,0.067424,0.549178,0.145769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinopteri,Hirundichthys_speculiger,938393,Chordata,Actinopteri,Beloniformes,Exocoetidae,GCA_018398805.1,6.8,1268256973,NA,NA,NA,NA,NA,NA,766,0.085358197,0.774305246,0.110238433,856,0.082787354,0.769468392,0.107590325,0.318651,0.772539,0.16276,0.333932,0.725457,0.0939619,433048288,34.45,63607264,5.06,2064448,0.16,10686712,0.85,120728,NA,35195204,2.8,827324,0.06,301720,0.02,314624036,25.03,5620852,0.44,2.332342061,1.608033495,0.575932217,NA,18.15690511,0.004681524,0.094538828,0.016664827,0.02134635,13.50336581,29580091,20393997,7304301,NA,230276215,59374,1198995,211353,270727,171257378
Actinopteri,Oryzias_celebensis,126373,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,GCA_014656515.1,1.7,831300000,NA,NA,NA,NA,NA,NA,756,0.008355225,0.0552478,0.151231806,NA,NA,NA,NA,0.0221434,0.774471,0.240089,0.01862,0.925931,0.121266,260224268,31.43,21424096,2.58,810988,0.09,8081228,0.97,41592,NA,11920680,1.44,154516,0.01,20952,NA,213846880,25.83,3923336,0.47,0.887354964,0.728132916,0.667797341,NA,16.7764835,0.001710839,0.086226266,0.000798391,0.00444818,14.4000146,7376582,6052969,5551399,NA,139462907,14222,716799,6637,36978,119707321
Actinopteri,Oryzias_woworae,1221322,Chordata,Actinopteri,Beloniformes,Adrianichthyidae,GCA_016861445.1,3.1,852454599.8,NA,NA,NA,NA,NA,NA,737,0.008244402,0.048118618,0.171334969,NA,NA,NA,NA,0.0221434,0.656845,0.249721,0.01862,1.03073,0.125412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
